country,project_clean,beneficiary,grant_no,unit_sector_long,eur
Belgium,Human Resources,Federal Police,2021/296,Deployment Management Division,246666.86
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2016/1606,Return Support Unit,216510
Belgium,Return Operations,Department of Federal Immigration (Dienst Vreemdelingenzaken),2016/1275,Return Support Unit,210907
Belgium,European Centre for Returns,Department of Federal Immigration (Dienst Vreemdelingenzaken),2022/321,European Centre for Returns,205559
Belgium,European Centre for Returns,Belgian Immigration Office,Multiple smaller grants,European Centre for Returns,19101.32
Belgium,European Centre for Returns,"Caritas International Belgium, Non-profit association",Multiple smaller grants,European Centre for Returns,128500
Belgium,European Centre for Returns,Fedasil (Federaal agentschap voor de opvang van asielzoekers),Multiple smaller grants,European Centre for Returns,31921.28
Belgium,White Sea II,FOD Financiën,Multiple smaller grants,Law Enforcement Sector,45360
Belgium,various projects,Department of Federal Immigration (Dienst Vreemdelingenzaken),Multiple smaller grants,various,1682039.63
Belgium,various projects,Federal Police,Multiple smaller grants,various,2363314.31
Bosnia and Herzegovina,Human Resources,Border Police of Bosnia and Herzegovina,2019/305,Field Deployment Unit,14913.66
Bosnia and Herzegovina,Human Resources,Border Police of Bosnia and Herzegovina,2019/326,Field Deployment Unit,14211.74
Bosnia and Herzegovina,Human Resources,Border Police of Bosnia and Herzegovina,2018/340,Operational Response Division,8750.46
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2021/397,Deployment Management Division,7335.92
Bosnia and Herzegovina,Alexis,Border Police of Bosnia and Herzegovina,2014/363,Air Border Sector,6927.18
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2021/393,Deployment Management Division,6319.42
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2022/373,Deployment Management Division,6319.42
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2013/569,Air Border Sector,5810.1
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2016/1157,Land Borders Sector,5714
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2016/1261,Air Border Sector,5665
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2014/687,Land Borders Sector,5398
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2017/699,Land Borders Sector,5297
Bosnia and Herzegovina,Flexible Operational Activities,Border Police of Bosnia and Herzegovina,2014/380,Land Borders Sector,5285
Bosnia and Herzegovina,Neptune,Border Police of Bosnia and Herzegovina,2013/283,Land Borders Sector,5210.9
Bosnia and Herzegovina,FOA,Border Police of Bosnia and Herzegovina,2016/1145,Land Borders Sector,5078
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2017/1496,Air Border Sector,4713
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2015/639,Land Borders Sector,4665
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2015/768,Air Border Sector,4655
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,2014/281,Air Border Sector,4499.35
Bosnia and Herzegovina,Neptune,Border Police of Bosnia and Herzegovina,2012/136,Land Borders Sector,4300
Bosnia and Herzegovina,Neptune,Border Police of Bosnia and Herzegovina,2011/506/,Land Borders Sector,4120.28
Bosnia and Herzegovina,Rex 2014,Border Police of Bosnia and Herzegovina,2014/949,Pooled Resources Unit,2989.58
Bosnia and Herzegovina,JO Flexi Force 2013 Mizar Operational Module,Border Police of Bosnia and Herzegovina,2013/133,Air Border Sector,2735.99
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2021/391,Field Operations Unit,849928
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2022/409,Field Operations Unit,692087
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,2018/20,Operational Response Division,689073
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2018/336,Operational Response Division,625414
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2018/240,Operational Response Division,582851
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2021/140,Coast Guard Sector,579514
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/1148,Sea Border Sector,568487
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2020/132,Field Deployment Unit,538019
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2022/367,Field Operations Unit,509727
Bulgaria,Black Sea 2022,Chief Directorate Border Police - Ministry of Interior,2022/308,Coast Guard Sector,503734
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,2021/33,Field Deployment Unit,457110
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,2020/244,Field Deployment Unit,455340
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2016/25,Sea Border Sector,449449
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/1528,Sea Border Sector,447631
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2019/354,Field Deployment Unit,437084
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,2020/303,Field Deployment Unit,431793
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2019/287,Field Deployment Unit,422447
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2016/1479,Return Support Unit,379764
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/712,Return Support Unit,344678
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,2022/341,Deployment Management Division,342052
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/1069,Return Support Unit,319383
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/507,Return Support Unit,317808
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/320,Return Support Unit,308537
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2019/175,Coast Guard Sector,293388
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,2022/47,Deployment Management Division,282491
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,2022/239,Deployment Management Division,279153.5
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,2019/102,Field Deployment Unit,275442
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/141,Return Support Unit,269461
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2016/1692,Return Support Unit,267400
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2017/910,Return Support Unit,265644
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,2021/267,Deployment Management Division,256100.2
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,2021/295,Deployment Management Division,255115.2
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,2021/274,Field Deployment Unit,247435
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,2016/1154,Return Support Unit,237090
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,2020/130,Coast Guard Sector,231733
Bulgaria,various projects,Bulgarian Ministry of Interior,Multiple smaller grants,various,132750.9
Bulgaria,various projects,Chief Directorate Border Police - Ministry of Interior,Multiple smaller grants,various,7520772.77
Bulgaria,various projects,National Police Service - Ministry of Interior,Multiple smaller grants,various,7141.7
Cape Verde,Focal Points,Direccao de Estrangeiros e Fronteiras,2016/1377,Air Border Sector,2622
Cape Verde,Focal Points,Direccao de Estrangeiros e Fronteiras,2015/1049,Air Border Sector,2604
Cape Verde,Focal Points,Direccao de Estrangeiros e Fronteiras,2014/857,Air Border Sector,1914.88
Croatia,Triton,"Directorate for Financial-Material Affairs, Ministry of Interior",2015/642,Sea Border Sector,1276131
Croatia,Technical Equipment & Human Resources,Croatian Ministry of Interior,2022/43,Deployment Management Division,1184260
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",2022/193,Deployment Management Division,877666.02
Croatia,Technical Equipment,Croatian Ministry of Interior,2020/81,Field Deployment Unit,641219
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",2022/240,Deployment Management Division,570748.87
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",2021/297,Deployment Management Division,555867.11
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",2021/276,Field Deployment Unit,552731
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2015/865,Sea Border Sector,523968
Croatia,Human Resources,Croatian Ministry of Interior,2019/48,Field Deployment Unit,517348
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",2021/316,Deployment Management Division,495479.73
Croatia,Human Resources,Croatian Ministry of Interior,2018/54,Operational Response Division,460898
Croatia,Technical Equipment,Croatian Ministry of Interior,2018/297,Operational Response Division,431929
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2017/1183,Sea Border Sector,385617
Croatia,Technical Equipment,Croatian Ministry of Interior,2022/54,Field Operations Unit,380184
Croatia,Technical Equipment & Human Resources,Croatian Ministry of Interior,2020/58,Field Deployment Unit,369150
Croatia,Technical Equipment,Croatian Ministry of Interior,2021/403,Field Operations Unit,368889
Croatia,Technical Equipment,Croatian Ministry of Interior,2021/112,Field Deployment Unit,362280
Croatia,Technical Equipment,Croatian Ministry of Interior,2019/265,Field Deployment Unit,359643.17
Croatia,Technical Equipment,Croatian Ministry of Interior,2020/235,Field Deployment Unit,358438
Croatia,Technical Equipment,Croatian Ministry of Interior,2019/72,Field Deployment Unit,344395
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2017/127,Sea Border Sector,332235
Croatia,Technical Equipment,Croatian Ministry of Interior,2018/80,Operational Response Division,296787
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2015/1343,Sea Border Sector,265223
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2016/1444,Sea Border Sector,252403
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2015/603,Sea Border Sector,225688
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2016/320,Sea Border Sector,212169
Croatia,Technical Equipment & Human Resources,Croatian Ministry of Interior,2020/205,Field Deployment Unit,191311
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",2017/1690,Sea Border Sector,178202
Croatia,Eurocup,Croatian Ministry of Interior,2008/112/,Land Borders Sector,166680
Croatia,on EU-southeastern external border: efficiency with high ethical standards - land border surveillance training with implication on fundamental rights. An EU and non-EU training initiative.,"Police Academy, Ministry of Interior",Multiple smaller grants,Training Unit,55500
Croatia,various projects,Croatian Ministry of Interior,Multiple smaller grants,various,568839.3
Croatia,various projects,"Directorate for Financial-Material Affairs, Ministry of Interior",Multiple smaller grants,various,1167645.77
Cyprus,Poseidon,"Cyprus Police, Police Headquarters",2015/1111,Sea Border Sector,211787
Cyprus,Human Resources,"Cyprus Police, Aliens and Immigration Unit",2022/209,Deployment Management Division,111682.56
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2022/309,European Centre for Returns,78896
Cyprus,Support Cat.2,"Cyprus Police, Police Headquarters",2020/327,Task Force Deployment Management,78352
Cyprus,Human Resources,Cyprus Police,2021/292,Deployment Management Division,78200.06
Cyprus,Human Resources,"Cyprus Police, Police Headquarters",2018/205,Operational Response Division,75284
Cyprus,Human Resources,"Cyprus Police, Police Headquarters",2019/22,Field Deployment Unit,70329
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2022/122,European Centre for Returns,60585
Cyprus,Poseidon,"Cyprus Police, Police Headquarters",2016/1,Sea Border Sector,35934
Cyprus,Technical Equipment & Human Resources,"Cyprus Police, Police Headquarters",2020/44,Field Deployment Unit,31558
Cyprus,Human Resources,"Cyprus Police, Aliens and Immigration Unit",2022/243,Deployment Management Division,30991.91
Cyprus,Technical Equipment & Human Resources,"Cyprus Police, Police Headquarters",2022/49,Deployment Management Division,30548
Cyprus,Technical Equipment & Human Resources,"Cyprus Police, Police Headquarters",2021/121,Field Deployment Unit,29523
Cyprus,Human Resources,Cyprus Police,2021/303,Deployment Management Division,28934.02
Cyprus,Poseidon,"Cyprus Police, Police Headquarters",2017/919,Sea Border Sector,23512
Cyprus,Triton,"Cyprus Police, Police Headquarters",2017/1216,Sea Border Sector,21289
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2021/355,European Centre for Returns,20534
Cyprus,Saturn,"Cyprus Police, Police Headquarters",2009/061/,Land Borders Sector,19768.32
Cyprus,Poseidon,"Cyprus Police, Police Headquarters",2010/277/,Land Borders Sector,16275.3
Cyprus,FOA,"Cyprus Police, Police Headquarters",2017/1493,Land Borders Sector,14708
Cyprus,Eurocup,Ministry of Justice and Public Order,2008/113/,Land Borders Sector,13989.66
Cyprus,Human Resources,"Cyprus Police, Aliens and Immigration Unit",2022/187,Deployment Management Division,13960.32
Cyprus,Poseidon,"Cyprus Police, Police Headquarters",2017/695,Return Support Unit,12625
Cyprus,various projects,Cyprus Police,Multiple smaller grants,various,8677.66
Cyprus,various projects,"Cyprus Police, Police Headquarters",Multiple smaller grants,various,142451.58
Czech Republic,Technical Equipment & Human Resources,Police of the Czech Republic,2020/40,Field Deployment Unit,3392821
Czech Republic,Human Resources,Police of the Czech Republic,2019/45,Field Deployment Unit,2885602.01
Czech Republic,Human Resources,Police of the Czech Republic,2018/23,Operational Response Division,2233850
Czech Republic,Technical Equipment & Human Resources,Police of the Czech Republic,2022/33,Deployment Management Division,1792044
Czech Republic,Technical Equipment & Human Resources,Police of the Czech Republic,2021/43,Field Deployment Unit,1588326
Czech Republic,Human Resources,Police of the Czech Republic,2022/241,Deployment Management Division,520390.19
Czech Republic,Human Resources,Police of the Czech Republic,2021/284,Deployment Management Division,504384.4
Czech Republic,Human Resources,Police of the Czech Republic,2022/164,Deployment Management Division,299246.8
Czech Republic,Poseidon,Police of the Czech Republic,2016/496,Return Support Unit,224746
Czech Republic,Human Resources,Police of the Czech Republic,2021/241,Deployment Management Division,198800.16
Czech Republic,Support Cat.2,Police of the Czech Republic,2020/305,Task Force Deployment Management,198113
Czech Republic,various projects,Czech Ministry of Interior,Multiple smaller grants,various,122221.42
Czech Republic,various projects,"Directorate of Alien and Border Police, Police of the Czech Republic",Multiple smaller grants,various,419025.12
Czech Republic,various projects,"International Police Cooperation Directorate, Police of the Czech Republic",Multiple smaller grants,various,616137.85
Czech Republic,various projects,Police of the Czech Republic,Multiple smaller grants,various,3722119.02
Denmark,Human Resources,Danish National Police,2018/19,Operational Response Division,1915551
Denmark,Technical Equipment & Human Resources,"Joint Operations Staff, Defence Command",2021/69,Field Deployment Unit,1862602
Denmark,Human Resources,Danish National Police,2022/237,Deployment Management Division,1855241.94
Denmark,Technical Equipment & Human Resources,Defence Command,2020/65,Field Deployment Unit,1819823
Denmark,Human Resources,Defence Command,2018/102,Operational Response Division,1736208
Denmark,Technical Equipment & Human Resources,Defence Command,2022/111,Deployment Management Division,1298451
Denmark,Human Resources,Danish National Police,2021/282,Deployment Management Division,1263107.01
Denmark,Human Resources,Danish National Police,2019/63,Field Deployment Unit,1153723
Denmark,Technical Equipment,Defence Command,2022/136,Field Operations Unit,1068924
Denmark,Technical Equipment,Defence Command,2020/31,Field Deployment Unit,1021203
Denmark,Technical Equipment,Defence Command,2022/272,Field Operations Unit,1014556
Denmark,Technical Equipment,Defence Command,2021/67,Field Deployment Unit,964511
Denmark,Technical Equipment & Human Resources,Danish National Police,2022/39,Deployment Management Division,892504
Denmark,Human Resources,Defence Command,2019/69,Field Deployment Unit,834875
Denmark,Technical Equipment,Defence Command,2020/180,Field Deployment Unit,815097.66
Denmark,Human Resources,Danish National Police,2022/210,Deployment Management Division,683750.1
Denmark,Technical Equipment,Defence Command,2019/96,Field Deployment Unit,629582
Denmark,Technical Equipment,Defence Command,2018/334,Operational Response Division,612121
Denmark,Human Resources,Danish National Police,2020/55,Field Deployment Unit,607119
Denmark,Technical Equipment,Defence Command,2020/22,Field Deployment Unit,601026
Denmark,Triton,Danish National Police,2017/1844,Sea Border Sector,580337
Denmark,Technical Equipment,Defence Command,2018/203,Operational Response Division,575787
Denmark,Technical Equipment,Defence Command,2019/210,Field Deployment Unit,575000
Denmark,Technical Equipment & Human Resources,Defence Command,2020/248,Field Deployment Unit,569569
Denmark,Triton,Danish National Police,2015/757,Sea Border Sector,556277
Denmark,Triton,Danish National Police,2016/1753,Sea Border Sector,544640
Denmark,Technical Equipment,Defence Command,2021/410,Field Operations Unit,539581
Denmark,Technical Equipment,Defence Command,2022/372,Field Operations Unit,528650
Denmark,Triton,Danish National Police,2017/1119,Sea Border Sector,518061
Denmark,Technical Equipment,Defence Command,2022/53,Field Operations Unit,504131
Denmark,Technical Equipment,Defence Command,2021/420,Field Operations Unit,486505
Denmark,Technical Equipment,Defence Command,2022/81,Field Operations Unit,481642
Denmark,Technical Equipment,Defence Command,2022/196,Field Operations Unit,475120
Denmark,Return Operations,Danish National Police,2016/1490,Return Support Unit,469350
Denmark,European Centre for Returns,Danish Return Agency,Multiple smaller grants,European Centre for Returns,36042
Denmark,Technical Equipment & Human Resources,Danish Immigration Service,Multiple smaller grants,various,131889
Denmark,various projects,Danish Emergency Management Agency,Multiple smaller grants,various,452838.06
Denmark,various projects,Danish National Police,Multiple smaller grants,various,10842604.32
Denmark,various projects,Defence Command,Multiple smaller grants,various,4054713.37
Egypt,2022/CFP/POST/01,"Life Makers Foundation Egypt, Non-profit organisation",2022/126,European Centre for Returns,108347
Estonia,Human Resources,Police and Border Guard Board,2018/88,Operational Response Division,1368450
Estonia,Human Resources,Police and Border Guard Board,2019/68,Field Deployment Unit,1261354
Estonia,Technical Equipment & Human Resources,Police and Border Guard Board,2020/77,Field Deployment Unit,1175941
Estonia,Technical Equipment & Human Resources,Police and Border Guard Board,2022/117,Deployment Management Division,967345
Estonia,Technical Equipment & Human Resources,Police and Border Guard Board,2021/82,Field Deployment Unit,897935
Estonia,Human Resources,Police and Border Guard Board,2022/238,Deployment Management Division,444682.46
Estonia,Human Resources,Police and Border Guard Board,2021/309,Deployment Management Division,355261.95
Estonia,Technical Equipment,Police and Border Guard Board,2022/363,Field Operations Unit,325248
Estonia,Technical Equipment,Police and Border Guard Board,2022/393,Field Operations Unit,297950
Estonia,Human Resources,Police and Border Guard Board,2022/226,Deployment Management Division,263819.52
Estonia,Poseidon,Police and Border Guard Board,2012/752,Land Borders Sector,254607.38
Estonia,Technical Equipment,Police and Border Guard Board,2021/182,Field Deployment Unit,250496
Estonia,Poseidon,Police and Border Guard Board,2011/213/,Pooled Resources Unit,216454.41
Estonia,Aeneas,Police and Border Guard Board,2014/246,Sea Border Sector,206401.65
Estonia,Technical Equipment,Police and Border Guard Board,2019/155,Field Deployment Unit,205343
Estonia,European Centre for Returns,Police and Border Guard Board,2022/24,European Centre for Returns,190693.05
Estonia,Technical Equipment,Police and Border Guard Board,2018/79,Operational Response Division,189931
Estonia,European Centre for Returns,Police and Border Guard Board,2020/1,European Centre for Returns,186025.88
Estonia,RABIT 2010,Police and Border Guard Board,2010/723/,Pooled Resources Unit,179328.68
Estonia,various projects,Police and Border Guard Board,Multiple smaller grants,various,8209881.72
Estonia,various projects,Tallinn University of Technology,Multiple smaller grants,Training Unit,101253.58
Finland,Poseidon,Finnish Border Guard,2016/43,Sea Border Sector,2823554
Finland,Poseidon,Finnish Border Guard,2017/1456,Sea Border Sector,1528031
Finland,Poseidon,Finnish Border Guard,2017/740,Sea Border Sector,1264772
Finland,Technical Equipment & Human Resources,Finnish Border Guard,2022/61,Deployment Management Division,1119898
Finland,Technical Equipment & Human Resources,Finnish Border Guard,2021/61,Field Deployment Unit,913488
Finland,Technical Equipment,Finnish Border Guard,2018/92,Operational Response Division,879124
Finland,Human Resources,Finnish Border Guard,2022/245,Deployment Management Division,819790.19
Finland,Human Resources,Finnish Border Guard,2021/311,Deployment Management Division,613312.5
Finland,Human Resources,Finnish Border Guard,2022/163,Deployment Management Division,604267.95
Finland,Poseidon,Finnish Border Guard,2017/315,Sea Border Sector,558564
